"ver1.4","code","name","close","stcode","stname","stclose","convprice","tyr","HisVol","ImpVol","strbvalue","optvalue","BS","BT","Delta","对冲比例","Theta","期权流逝","溢价流逝","溢价率","溢价率均值","溢价率标准差","2017-11","2017-10","2017-09","2017-08","2017-07","2017-06","2017-05","2017-04","2017-03","2017-02","2017-01","2016-12","2016-11","2016-10"
"2017-11-03","113013.SH","国君转债",115.8442,"601211.SH","国泰君安",19.96,20.2,5.66575342465753,0.207189261339515,0.319092209707637,84.057,22.2466165447328,106.303616544733,22.2089895489105,0.653458890639016,3.23494500316344,-0.448831480645579,-9.98498184312685,-5.61041005802708,0.089748437215704,0.114969966504879,0.0662897620033461,0.0940292747953932,0.117350993570993,0.134589698500123,0.167429233927677,0.021073913115468,0,0,0,0,0,0,0,0,0
"2017-11-03","113014.SH","林洋转债",99.9934,"601222.SH","林洋能源",8.49,8.8,5.97534246575342,0.278409952387793,0.149476448739561,83.7156,27.6247746028669,111.340374602867,27.6436224675675,0.662495891437608,7.52836240270009,-0.224555409417836,-6.2032925710222,-2.7241618523613,-0.101912488109903,-0.117886535604419,0.00927650055487135,-0.111906222786857,-0.123866848421982,0,0,0,0,0,0,0,0,0,0,0,0
"2017-11-03","113015.SH","隆基转债",99.9984,"601012.SH","隆基股份",31.96,32.35,5.99178082191781,0.414507100563228,0.137590024953726,83.249,40.6993190738217,123.948319073822,40.5699988575092,0.720370998375414,2.22680370440622,-1.05817578555899,-43.0670339326574,-2.79539597622314,-0.193225041313852,-0.192968500171242,0.000637583483304369,-0.192968500171242,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-11-03","120001.SZ","16以岭EB",107.5011,"002603.SZ","以岭药业",16.48,17.8,3.44931506849315,0.163079940571377,0.214613407335971,94.3434,10.1396654925225,104.483065492522,10.1195972877047,0.5270552843385,2.96098474347472,-0.391201008016375,-3.96664736162365,-3.81458339952343,0.0288853939463856,0.000253153892612528,0.0203716199283052,0.0230809982193356,0.0118491104747764,0.0153049793464041,0.026224766702585,0.00401894726812582,-0.0020847868151492,-0.0243081910796675,-0.0257444496001869,-0.0222889691292262,-0.00152973638939069,0.000598205221299738,-0.0145999315289883,0.0277357630355821,0.00974664477105691
"2017-11-03","123001.SZ","蓝标转债",101.5394,"300058.SZ","蓝色光标",6.98,9.77,4.11780821917808,0.300899981881135,0.273767388325791,93.178,10.456151723484,103.634151723484,10.3903416117354,0.442647085559878,4.53067641310008,-0.235339117988243,-2.46074152415598,-2.03054624085163,-0.0202129480354432,0.0366630398844464,0.0325585325775641,-0.0249588779590331,-0.00863668330542211,0.0241328062789609,0.0299633353571499,0.0224472908824948,-0.01463724599082,0.091862859932826,0.0569680068294501,0.0571233855380639,0.0669150322945442,0.0528888276299061,0.0556241801376614,0.0231687379201438,-0.0121459927500114
"2017-11-03","127003.SZ","海印转债",99.5642,"000861.SZ","海印股份",3.52,5.25,4.58904109589041,0.192485581214485,0.260217002319865,92.5072,3.85501452288792,96.3622145228879,3.87704914240372,0.275457094615989,5.24680180220932,-0.0643193363716884,-0.247951975815372,-1.53779402985075,0.0332286414645604,0.0165899723164935,0.0328822915307225,0.0323119140916897,0.0297541848193183,0.0391620217950011,0.0576873707417434,0.0468178927155021,0.0411374146059616,0.0321561882308035,0.0268902536527617,0.0175705601842358,-0.0160156352812465,-0.0384151368678037,-0.0317058858378718,-0.0127336104025586,-0.0332615284113719
"2017-11-03","127004.SZ","模塑转债",103.7877,"000700.SZ","模塑科技",6.33,8,5.57260273972603,0.293084943394735,0.265739604194251,88.7169,17.2465906728297,105.96349067283,17.2604499738085,0.551056291580176,6.8882036447522,-0.187106018577178,-3.22694091482347,-2.70444542772861,-0.0205333993719371,-0.0204064376843166,0.0303176083205617,-0.0200486665618,-0.0237130000132788,-0.00170546977286867,0.00191065485340775,-0.0217852215059373,-0.0595455209238036,0,0,0,0,0,0,0,0
"2017-11-03","128010.SZ","顺昌转债",115.4185,"002245.SZ","澳洋顺昌",9.24,9.32,4.21369863013699,0.295351843276354,0.263335802542312,92.6431,25.7133734137993,118.356473413799,25.6405084152011,0.65290352824174,7.00540266353798,-0.300011824278148,-7.71431606621916,-5.40508517555266,-0.0248230901872813,-0.0364188054206181,0.0467150388151356,-0.0320899820778191,-0.0144829386933478,0.0272728932608063,0.0380012159259402,0.0171889459993601,-0.0253021472480567,-0.059747035321051,-0.0474441473979133,-0.0622774836457962,-0.0837553832717742,-0.0877336759163154,-0.075844350349989,-0.0709934170718467,-0.107374685167132
"2017-11-03","128012.SZ","辉丰转债",103.7222,"002496.SZ","辉丰股份",5.67,7.74,4.45753424657534,0.299219093791437,0.383242447139839,86.8951,12.0031345697333,98.8982345697333,12.0399914142704,0.47173032969965,6.09470710206266,-0.186071926200756,-2.23344636983717,-3.77497940995698,0.0487770631220446,0.122223571974165,0.0354342479979897,0.0456008752736625,0.0535389263859902,0.0856917804580206,0.116191303325315,0.120125199315885,0.119138868816014,0.136227614576926,0.144871117978745,0.147873066221934,0.162764752239382,0.155341197095659,0.155320883440266,0.0895386374192902,0.0235937341351978
"2017-11-03","128013.SZ","洪涛转债",99.6749,"002325.SZ","洪涛股份",5.64,10.03,4.72876712328767,0.328430351221762,0.384416991793368,90.1591,7.04291372159509,97.2020137215951,7.0236892030361,0.363296106714077,3.62209478279239,-0.179976507659891,-1.26755901536261,-2.01232155272306,0.0254406897936057,0.0170984709948946,0.0225703504902709,0.0229034384045205,0.012679846034248,0.0153029001022885,0.0226566609851902,-0.016957148188441,-0.00276886588860982,0.0443052703221003,0.0395243082017987,0.0364834962644703,0.0332244762171016,0.0219508598842164,0.0125004179857,-0.00306391968881503,-0.0362606364426433
"2017-11-03","128014.SZ","永东转债",115.7147,"002753.SZ","永东股份",22,20.46,5.44657534246575,0.548106898475287,0.213903885910318,87.6947,55.6665070837583,143.361207083758,55.6943142658225,0.776427884385753,3.79485769494503,-0.857387388999517,-47.7277611632667,-5.14451710261569,-0.1928451053541,-0.165356375014791,0.0408194884538595,-0.190054789798163,-0.194974627494676,-0.217604870379052,-0.199816698166105,-0.145987644996737,-0.114328520029995,-0.134435271458155,-0.133393058968742,0,0,0,0,0,0
